date,temperature,humidity,rainfall,pressure
2023-07-01,28.4,80.1,0.003,1010.6
2023-07-02,28.8,78.3,0.0,1011.5
2023-07-03,28.8,76.5,0.0,1010.4
2023-07-04,28.4,77.2,0.0,1009.6
2023-07-05,28.6,77.5,0.022,1009.2
2023-07-06,27.4,84.9,4.951,1010.8
2023-07-07,26.7,87.2,1.409,1011.8
2023-07-08,27.6,81.4,0.223,1011.7
2023-07-09,28.4,77.0,0.0,1009.9
2023-07-10,29.2,73.8,0.042,1009.9
2023-07-11,29.0,73.7,0.0,1010.6
2023-07-12,28.9,75.3,0.068,1010.6
2023-07-13,28.8,74.1,0.002,1010.9
2023-07-14,28.7,73.7,0.002,1010.8
2023-07-15,29.0,72.2,0.0,1010.5
2023-07-16,29.0,73.9,0.0,1010.0
2023-07-17,29.1,68.7,0.0,1009.2
2023-07-18,28.6,68.4,0.0,1010.0
2023-07-19,28.7,64.0,0.0,1009.5
2023-07-20,28.2,61.3,0.0,1009.4
2023-07-21,28.5,69.4,0.0,1011.1
2023-07-22,28.8,70.5,0.0,1011.7
2023-07-23,28.8,71.5,0.0,1011.3
2023-07-24,27.7,82.9,0.121,1011.2
2023-07-25,27.8,80.4,0.0,1011.3
2023-07-26,27.9,76.5,0.017,1012.0
2023-07-27,28.4,74.1,0.0,1011.8
2023-07-28,28.8,67.5,0.0,1011.2
2023-07-29,28.2,70.1,0.0,1011.2
2023-07-30,28.4,70.0,0.0,1011.1
2023-07-31,28.1,66.1,0.0,1010.8
2023-08-01,28.7,70.0,0.0,1011.1
2023-08-02,29.0,75.2,0.158,1012.1
2023-08-03,29.4,74.6,0.014,1012.6
2023-08-04,29.2,74.6,0.0,1013.6
2023-08-05,29.1,69.7,0.0,1013.6
2023-08-06,28.8,73.1,0.0,1012.5
2023-08-07,28.5,75.1,0.2,1011.3
2023-08-08,29.1,75.2,0.0,1011.6
2023-08-09,28.9,74.4,0.0,1012.5
2023-08-10,28.8,72.8,0.0,1012.5
2023-08-11,28.6,75.4,0.0,1012.0
2023-08-12,28.4,69.1,0.0,1011.3
2023-08-13,27.9,73.3,0.0,1011.2
2023-08-14,28.4,70.8,0.0,1011.5
2023-08-15,28.4,71.9,0.0,1012.1
2023-08-16,28.8,69.5,0.0,1012.2
2023-08-17,28.5,67.6,0.0,1011.2
2023-08-18,28.5,68.8,0.0,1010.8
2023-08-19,28.8,72.3,0.0,1010.6
2023-08-20,29.4,69.6,0.0,1010.7
2023-08-21,29.0,69.6,0.0,1010.7
2023-08-22,28.6,70.1,0.0,1010.4
2023-08-23,28.9,69.4,0.0,1010.5
2023-08-24,29.1,71.1,0.0,1010.2
2023-08-25,29.0,72.7,0.0,1010.6
2023-08-26,29.3,73.8,0.0,1010.4
2023-08-27,28.4,77.8,2.233,1010.4
2023-08-28,28.1,73.2,0.012,1010.2
2023-08-29,28.6,71.1,0.0,1009.8
2023-08-30,28.5,72.2,0.0,1010.6
2023-08-31,28.4,73.1,0.0,1011.4
2023-09-01,28.2,72.2,0.0,1010.8
2023-09-02,28.4,71.4,0.0,1010.1
2023-09-03,28.6,66.3,0.0,1009.4
2023-09-04,28.2,60.0,0.0,1009.1
2023-09-05,28.3,61.6,0.0,1010.4
2023-09-06,28.9,62.8,0.0,1011.0
2023-09-07,28.8,68.3,0.0,1011.3
2023-09-08,29.2,70.7,0.0,1011.0
2023-09-09,29.0,70.9,0.0,1010.7
2023-09-10,28.4,67.5,0.0,1011.4
2023-09-11,29.1,63.8,0.0,1011.3
2023-09-12,29.3,64.0,0.0,1011.8
2023-09-13,29.4,65.3,0.0,1011.6
2023-09-14,29.0,62.8,0.0,1011.5
2023-09-15,29.3,64.7,0.0,1011.3
2023-09-16,29.4,66.5,0.0,1011.2
2023-09-17,29.6,66.6,0.0,1010.6
2023-09-18,29.7,68.5,0.0,1010.3
2023-09-19,29.4,71.1,2.0,1010.3
2023-09-20,29.4,69.2,0.4,1009.9
2023-09-21,29.7,67.8,0.081,1010.4
2023-09-22,29.5,66.0,0.0,1010.3
2023-09-23,28.8,64.6,0.0,1010.3
2023-09-24,29.1,65.9,0.0,1010.4
2023-09-25,29.9,60.5,0.0,1010.0
2023-09-26,30.1,58.1,0.0,1010.0
2023-09-27,29.9,56.1,0.0,1010.1
2023-09-28,29.9,58.6,0.0,1010.6
2023-09-29,30.2,59.1,0.0,1012.0
2023-09-30,29.4,69.5,0.0,1011.8
2023-10-01,29.3,70.1,0.0,1011.3
2023-10-02,29.5,66.8,0.0,1011.8
2023-10-03,29.6,64.3,0.0,1012.3
2023-10-04,29.7,68.9,0.0,1011.7
2023-10-05,29.9,70.3,0.0,1010.7
2023-10-06,29.7,71.5,0.0,1010.8
2023-10-07,29.9,70.8,0.0,1010.9
2023-10-08,30.2,67.7,0.0,1011.4
2023-10-09,30.3,67.9,0.0,1011.9
2023-10-10,30.9,66.1,0.0,1011.3
2023-10-11,30.6,67.6,0.5,1010.9
2023-10-12,30.7,68.5,0.0,1011.6
2023-10-13,30.6,68.6,0.1,1011.6
2023-10-14,30.5,64.4,0.0,1010.6
2023-10-15,30.9,61.3,0.0,1010.8
2023-10-16,30.7,66.2,0.0,1010.4
2023-10-17,31.2,59.5,0.0,1010.7
2023-10-18,30.3,62.9,0.0,1011.1
2023-10-19,30.5,65.5,0.0,1011.7
2023-10-20,30.2,67.7,0.0,1011.4
2023-10-21,30.5,66.6,0.0,1011.4
2023-10-22,30.7,63.8,0.0,1011.9
2023-10-23,30.2,64.3,0.0,1011.5
2023-10-24,29.6,66.5,0.0,1011.2
2023-10-25,29.0,73.6,0.149,1011.7
2023-10-26,29.8,69.5,0.0,1011.6
2023-10-27,29.8,69.6,0.0,1010.6
2023-10-28,30.3,65.8,0.0,1010.4
2023-10-29,30.0,68.0,0.0,1009.8
2023-10-30,30.2,67.1,0.0,1009.3
2023-10-31,30.3,70.1,7.8,1009.4
2023-11-01,29.6,71.2,0.033,1010.1
2023-11-02,29.6,72.6,0.0,1009.4
2023-11-03,29.7,71.4,0.01,1008.9
2023-11-04,29.0,77.3,0.224,1008.9
2023-11-05,27.7,83.0,27.206,1009.6
2023-11-06,29.6,76.0,0.009,1009.9
2023-11-07,29.9,73.8,0.0,1009.9
2023-11-08,30.2,73.0,0.0,1009.4
2023-11-09,29.8,72.8,0.0,1009.8
2023-11-10,29.2,76.5,0.826,1010.5
2023-11-11,28.9,79.8,4.295,1010.7
2023-11-12,29.3,74.4,0.081,1010.5
2023-11-13,30.4,69.8,0.0,1010.2
2023-11-14,29.7,76.6,28.209,1010.2
2023-11-15,28.9,79.1,10.457,1010.7
2023-11-16,29.8,73.3,11.422,1010.9
2023-11-17,29.4,76.3,0.386,1010.7
2023-11-18,29.0,77.8,0.006,1009.8
2023-11-19,29.8,75.9,2.954,1009.5
2023-11-20,29.6,75.2,1.937,1009.4
2023-11-21,30.0,74.8,0.164,1008.5
2023-11-22,29.7,76.3,18.198,1008.1
2023-11-23,28.6,80.1,0.0,1007.7
2023-11-24,28.6,82.4,26.091,1007.8
2023-11-25,26.1,91.1,19.05,1009.0
2023-11-26,28.3,79.0,0.557,1008.6
2023-11-27,27.7,82.2,0.052,1008.9
2023-11-28,28.9,76.1,0.056,1008.3
2023-11-29,29.4,77.2,5.943,1008.0
2023-11-30,27.7,84.6,14.232,1008.9
2023-12-01,26.6,89.9,2.781,1009.0
2023-12-02,28.8,78.7,0.018,1008.2
2023-12-03,28.0,81.9,0.007,1009.0
2023-12-04,26.5,89.9,3.053,1010.4
2023-12-05,28.7,76.9,0.0,1009.3
2023-12-06,28.7,78.9,0.0,1009.9
2023-12-07,28.8,81.0,0.0,1009.5
2023-12-08,28.5,81.7,0.036,1009.1
2023-12-09,28.6,79.3,0.0,1009.0
2023-12-10,28.5,79.9,0.0,1008.5
2023-12-11,29.4,76.9,0.0,1008.0
2023-12-12,29.4,76.5,0.0,1008.1
2023-12-13,29.5,73.7,0.0,1008.7
2023-12-14,30.0,72.5,0.0,1009.4
2023-12-15,30.1,67.8,0.0,1009.1
2023-12-16,29.9,66.9,0.0,1008.8
2023-12-17,29.8,69.1,0.0,1009.1
2023-12-18,30.1,70.0,0.0,1009.2
2023-12-19,30.2,63.4,0.0,1009.5
2023-12-20,30.0,57.6,0.0,1008.9
2023-12-21,29.2,62.7,0.0,1009.6
2023-12-22,29.2,67.3,0.0,1010.4
2023-12-23,30.3,66.0,0.0,1010.6
2023-12-24,30.5,68.9,0.001,1010.5
2023-12-25,28.7,79.1,34.785,1011.1
2023-12-26,28.0,82.3,0.0,1011.6
